"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.61454454830653,0.846,0.403,0,"0","Trhde"
0,2.0153895554791,0.619,0.19,0,"0","Ano2"
0,1.11430436802413,0.784,0.417,0,"0","Nfib"
0,1.36493678772674,0.852,0.489,0,"0","Grm1"
0,1.29955270890493,0.775,0.429,0,"0","Ghr"
0,1.73138854599768,0.512,0.174,0,"0","Adamtsl1"
0,1.16602614945298,0.738,0.433,0,"0","Sh3gl2"
0,1.004972643311,0.685,0.382,0,"0","Zfhx3"
0,1.23795053930814,0.653,0.356,0,"0","Epha3"
0,1.01805767067103,0.908,0.625,0,"0","Dgkg"
0,1.09919044440115,0.948,0.665,0,"0","March1"
0,1.4832101720814,0.452,0.184,0,"0","Slit1"
0,3.38616635409632,0.28,0.032,0,"0","Col15a1"
0,1.78924778203896,0.346,0.111,0,"0","Matn2"
0,1.61575492887406,0.964,0.752,0,"0","Trpm3"
0,1.8435210059727,0.283,0.082,0,"0","Cald1"
0,3.08031332259227,0.205,0.033,0,"0","Hmcn1"
0,2.73960188130179,0.159,0.026,0,"0","Slc26a4"
8.84318534370077e-296,1.30529256686709,0.418,0.173,1.819396952613e-291,"0","Ust"
6.67236374919973e-262,1.4326056493321,0.362,0.146,1.37277211776035e-257,"0","Nxn"
2.82033155091282e-210,1.35416955216667,0.292,0.115,5.80255013284804e-206,"0","Cnr1"
1.26309462998809e-200,1.78926414301735,0.2,0.063,2.5986908917375e-196,"0","Ntf3"
2.95432197713144e-191,1.39789571765322,0.262,0.101,6.07822203575023e-187,"0","Col6a3"
5.24054806395708e-189,1.78022931241904,0.205,0.069,1.07819035867853e-184,"0","Gm13481"
3.52316693776478e-187,1.53210209340021,0.228,0.082,7.24856365775725e-183,"0","Nbl1"
8.67456815716101e-179,1.25917284004924,0.295,0.127,1.78470565265431e-174,"0","Clic4"
3.43942136976205e-178,1.3986837000858,0.272,0.112,7.07626552614843e-174,"0","Mkx"
1.26551230544449e-176,1.60029643054042,0.217,0.078,2.60366501722149e-172,"0","Dchs2"
6.08426562846705e-160,2.22078631982178,0.106,0.024,1.25177681040081e-155,"0","Grtp1"
2.96116293392882e-152,1.26234991480891,0.266,0.117,6.09229662026515e-148,"0","6330403A02Rik"
1.72824147837265e-142,1.14759694645901,0.3,0.145,3.5556840176039e-138,"0","Ar"
4.2647122832551e-142,1.02388616555869,0.347,0.18,8.77421905156905e-138,"0","Spon1"
3.42742275233917e-140,1.25787362933929,0.259,0.117,7.0515795706626e-136,"0","Galnt7"
4.41936996039978e-137,1.13838194873461,0.293,0.142,9.09241175652651e-133,"0","Gfra2"
7.29890078051078e-137,1.17301848413252,0.266,0.123,1.50167584658229e-132,"0","Scn9a"
4.27126652917882e-135,1.56598946286992,0.161,0.056,8.7877037571325e-131,"0","Met"
5.45198111467377e-134,1.06848698256499,0.251,0.113,1.12169059453298e-129,"0","Reln"
4.89267841213984e-124,1.64155560509324,0.145,0.05,1.00661965651365e-119,"0","Kcnk13"
6.82625549692049e-122,1.00924343518564,0.327,0.176,1.40443380593642e-117,"0","Znrf3"
2.47455230238958e-120,2.74511817824781,0.057,0.009,5.09114390693633e-116,"0","4931429P17Rik"
3.50786908845112e-117,1.33467040468824,0.197,0.084,7.21708986257933e-113,"0","Traip"
1.52302372109989e-112,1.97581247075265,0.091,0.024,3.13346900379092e-108,"0","Htr1b"
2.55146518610672e-107,1.11169103154724,0.221,0.103,5.24938447389597e-103,"0","Grik4"
3.97356345813316e-104,2.14378656167023,0.075,0.018,8.17520945876316e-100,"0","D430036J16Rik"
2.68841683121874e-101,1.68586450160022,0.107,0.034,5.53114878854943e-97,"0","Adam18"
1.76757818611092e-99,1.62251396924842,0.113,0.037,3.6366153601046e-95,"0","Lamp5"
3.01729932396432e-96,1.74522723036281,0.097,0.03,6.2077916291242e-92,"0","Bmp6"
3.11745721865164e-93,1.04201231015443,0.232,0.117,6.41385648165389e-89,"0","Runx2"
2.61053204960159e-92,1.68238002287888,0.095,0.029,5.37090863885031e-88,"0","Unc5b"
1.09358247806119e-91,1.02155856951284,0.233,0.119,2.2499365903631e-87,"0","Sulf2"
0,1.85186348132399,0.922,0.491,0,"1","Nxph1"
0,2.0639833378884,0.519,0.174,0,"1","Slit2"
0,1.08085826639027,0.894,0.597,0,"1","Cntn4"
0,1.22120612241515,0.825,0.532,0,"1","Cntnap5a"
0,1.64743387391677,0.46,0.17,0,"1","Gfra1"
0,1.08422506231602,0.989,0.948,0,"1","Cntnap2"
3.45951770983335e-251,1.24932685428447,0.68,0.428,7.11761173621112e-247,"1","Cntnap5b"
8.26555049482636e-245,1.39657827185714,0.475,0.217,1.70055435880557e-240,"1","Vat1l"
2.52398107772972e-231,1.05918974957036,0.616,0.344,5.19283866932112e-227,"1","Car10"
6.76404473461733e-228,1.817534267985,0.308,0.109,1.39163456370017e-223,"1","Pde3a"
9.16412427859218e-224,1.299516266478,0.491,0.24,1.88542692907755e-219,"1","Plcxd3"
1.7542140572773e-213,1.0322376183336,0.744,0.532,3.60912000144233e-209,"1","Spock3"
4.09375083071034e-169,1.00165008150462,0.492,0.262,8.42248295910345e-165,"1","Neto1"
4.81390024942295e-157,2.03601885801323,0.162,0.045,9.90411837316278e-153,"1","Pou6f2"
3.0611988430025e-144,3.16268290317883,0.07,0.01,6.29811049959335e-140,"1","Drd3"
9.02123057365868e-142,1.43386592854048,0.276,0.117,1.85602797822454e-137,"1","Grin3a"
2.40558964727812e-135,1.00856335430119,0.547,0.354,4.94926014031001e-131,"1","Nrp1"
2.50177344520351e-119,1.0279131453747,0.386,0.208,5.1471486861617e-115,"1","Gabra1"
5.64504311888774e-93,1.23900487993683,0.235,0.11,1.16141117127996e-88,"1","Fam184b"
5.39474630696541e-81,2.80989961429371,0.041,0.006,1.10991510519506e-76,"1","Nkx2-1"
1.44440730765264e-75,1.75639490832897,0.109,0.038,2.97172359476454e-71,"1","Parm1"
1.56543978891335e-69,2.11488650041165,0.067,0.018,3.22073582171033e-65,"1","Zan"
1.1092408246043e-68,1.00366598373392,0.273,0.154,2.28215207254089e-64,"1","Akap13"
5.67081539083575e-55,1.18151181061387,0.149,0.07,1.16671355851055e-50,"1","Mgat5b"
6.52247223255694e-52,1.39713407617872,0.119,0.052,1.34193343712627e-47,"1","Tll1"
2.66161193458902e-51,1.04308511892716,0.179,0.094,5.47600039422345e-47,"1","Cdh4"
6.17923451386389e-48,1.32023389086948,0.095,0.039,1.27131570888236e-43,"1","Adra2a"
9.94993221556357e-44,1.45748225126989,0.075,0.028,2.04709905403005e-39,"1","Rnf207"
1.03678151918011e-35,1.10065477768595,0.123,0.064,2.13307429756115e-31,"1","Sntg2"
5.51331850902899e-35,2.13828837168205,0.031,0.008,1.13431015004762e-30,"1","RP24-230H23.1"
1.28634989857418e-34,1.972682546492,0.034,0.009,2.64653628132652e-30,"1","Homer3"
4.39173048649021e-33,1.0885074701925,0.095,0.046,9.03554630290496e-29,"1","Isl1"
4.47677258564407e-33,1.61486331839137,0.054,0.02,9.2105119177041e-29,"1","Igfbp5"
4.91993531018121e-33,1.81334663189118,0.045,0.015,1.01222749071668e-28,"1","Dgkk"
1.46866903878276e-28,1.21605569922893,0.077,0.036,3.02163968039166e-24,"1","Fgd5"
9.69360639086249e-26,1.00544846458777,0.107,0.059,1.99436257885605e-21,"1","Rreb1"
3.50099100946494e-24,1.31107296143972,0.055,0.024,7.20293890287316e-20,"1","Kctd4"
4.3846644193693e-24,1.79590387400863,0.027,0.008,9.02100857641041e-20,"1","Gm26973"
7.93224540528651e-23,1.74617401668332,0.024,0.007,1.63198016968365e-18,"1","Galr1"
2.54301925307884e-22,1.03221840056362,0.087,0.047,5.2320078112844e-18,"1","Mdga1"
6.54700880876903e-22,2.0649178551034,0.019,0.005,1.34698159231614e-17,"1","Gm37892"
2.89132789152954e-18,1.10426609869812,0.06,0.031,5.94861800403287e-14,"1","Pawr"
4.08453473352299e-17,1.3207413460421,0.033,0.013,8.4035217607502e-13,"1","Spint1"
4.15674140815085e-17,1.44380818817448,0.028,0.011,8.55207977312957e-13,"1","Gpx3"
4.5059508458033e-16,1.01581115734136,0.054,0.028,9.2705432701557e-12,"1","Lipa"
7.25651127949045e-16,1.03019931943309,0.056,0.029,1.49295463064236e-11,"1","D930020B18Rik"
7.39345124338363e-16,1.23940624634236,0.036,0.016,1.52112865881375e-11,"1","Kcnh4"
2.49374926938365e-15,1.3005715514094,0.03,0.012,5.13063974682993e-11,"1","Lamb3"
