"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,1.60971899343991,0.846,0.351,0,"1","Nfib"
"2",0,1.66549910233337,0.738,0.278,0,"1","Zeb2"
"3",0,1.36487953318032,0.881,0.466,0,"1","Trhde"
"4",0,1.72772433009779,0.661,0.251,0,"1","Ano2"
"5",0,1.37051349068795,0.93,0.52,0,"1","Grm1"
"6",0,1.79687663224315,0.567,0.185,0,"1","Slit1"
"7",0,1.22443529045594,0.717,0.36,0,"1","Khdrbs2"
"8",0,1.05698405237425,0.923,0.575,0,"1","Chrm3"
"9",0,1.36561265335557,0.724,0.379,0,"1","Epha3"
"10",0,1.13781075612156,0.825,0.494,0,"1","Ghr"
"11",0,1.12823159933687,0.978,0.683,0,"1","March1"
"12",0,1.93732947377527,0.4,0.118,0,"1","Matn2"
"13",0,3.47480756735572,0.282,0.034,0,"1","Hmcn1"
"14",0,2.67052239726052,0.285,0.051,0,"1","Col15a1"
"15",0,1.65407516192594,0.999,0.791,0,"1","Trpm3"
"16",1.91010617464604e-301,1.57073914855536,0.479,0.173,3.82861681646052e-297,"1","Spon1"
"17",1.39366767256316e-293,1.4595730225751,0.531,0.215,2.7934674828856e-289,"1","Adamtsl1"
"18",1.17917630883777e-284,1.49715800278319,0.486,0.184,2.36354099343442e-280,"1","Ust"
"19",8.29940754146984e-274,1.12563374033922,0.763,0.45,1.66353324761221e-269,"1","Sh3gl2"
"20",6.39161521459253e-264,1.31327598208377,0.496,0.196,1.28113535361293e-259,"1","Pdzrn4"
"21",7.92974246483742e-257,1.36410668176099,0.533,0.231,1.58943757965201e-252,"1","Slit3"
"22",1.85119399674669e-242,2.60589132989734,0.177,0.03,3.71053324707906e-238,"1","Slc26a4"
"23",2.38757632808864e-236,1.60919805178197,0.356,0.119,4.78565799202087e-232,"1","Col6a3"
"24",2.2741015724734e-215,1.72931606932622,0.304,0.096,4.55820919186568e-211,"1","Cald1"
"25",2.47374893149545e-208,1.03702027280873,0.663,0.377,4.95838235828948e-204,"1","Ldb2"
"26",1.13619190950839e-204,2.37130535369292,0.187,0.041,2.27738306341862e-200,"1","Kcnk13"
"27",8.44642333160962e-182,1.41051994978475,0.313,0.113,1.69300109258783e-177,"1","Reln"
"28",1.23576733157964e-172,1.38871471225435,0.331,0.126,2.47697203941824e-168,"1","Cnr1"
"29",6.35983574534878e-164,1.5688325470553,0.273,0.095,1.27476547679771e-159,"1","Nbl1"
"30",1.96292280805244e-163,1.27563645666153,0.391,0.171,3.93448247646031e-159,"1","Nxn"
"31",2.00963766438709e-151,2.31153957997928,0.137,0.029,4.02811773449748e-147,"1","Adam18"
"32",2.18005766362925e-142,1.28308634837382,0.352,0.155,4.36970758097847e-138,"1","Ar"
"33",3.53277903041624e-141,2.0713155357967,0.148,0.036,7.08110228856631e-137,"1","Lamp5"
"34",1.75747743694877e-140,2.27379030337978,0.129,0.028,3.52268777462012e-136,"1","Grtp1"
"35",3.53519305812241e-138,1.0169533192604,0.473,0.25,7.08594096570056e-134,"1","Snca"
"36",3.46977351287601e-132,1.03891205671112,0.425,0.213,6.95481402920868e-128,"1","Nfia"
"37",1.32131468651842e-130,1.26992759108734,0.332,0.148,2.64844315765752e-126,"1","Gfra2"
"38",1.37951156013509e-128,1.70319983056926,0.205,0.069,2.76509297113477e-124,"1","Ntf3"
"39",9.73682958437579e-127,2.18280177103082,0.123,0.028,1.95165012189228e-122,"1","Unc5b"
"40",4.16285353398651e-123,1.38321593119544,0.289,0.123,8.34402362352255e-119,"1","Mkx"
"41",2.63811217562459e-119,1.3358421007262,0.273,0.113,5.28783204482194e-115,"1","Runx2"
"42",8.01075191080702e-117,1.30849043679077,0.288,0.125,1.60567511300216e-112,"1","Galnt7"
"43",3.28480273923786e-113,1.29353924994936,0.281,0.122,6.58405861052837e-109,"1","Sulf2"
"44",2.17125768574939e-111,1.11050948693504,0.314,0.145,4.35206890531608e-107,"1","Zmat4"
"45",9.64802935574306e-109,1.13779215015517,0.263,0.11,1.93385100406514e-104,"1","Zfp536"
"46",1.73618779772332e-103,1.45157539891732,0.219,0.086,3.48001482175662e-99,"1","Traip"
"47",1.34282466448597e-101,1.07470313703757,0.314,0.15,2.69155775749567e-97,"1","Clic4"
"48",3.60304360085144e-99,1.00031689837328,0.369,0.196,7.22194059354662e-95,"1","Snrpn"
"49",8.85596794189856e-96,1.01479692413815,0.349,0.181,1.77509021427415e-91,"1","Znrf3"
"50",1.85024048094189e-95,1.58098691895489,0.155,0.052,3.70862201999992e-91,"1","Mctp2"
"51",0,2.87437735908181,0.773,0.179,0,"2","Cpa6"
"52",0,1.18536410136022,0.91,0.53,0,"2","Grm1"
"53",0,2.2298547087759,0.398,0.102,0,"2","Prlr"
"54",0,1.74489628465207,0.746,0.459,0,"2","Hs6st3"
"55",0,1.04429932081948,0.976,0.798,0,"2","Trpm3"
"56",0,1.35865562485488,0.99,0.814,0,"2","Epha6"
"57",1.5276762783864e-273,1.27162636253785,0.648,0.298,3.06207433239771e-269,"2","Zeb2"
"58",2.1930447139747e-240,1.7657184749441,0.375,0.121,4.39573882469088e-236,"2","Col6a3"
"59",4.12121888413029e-231,2.47203985686091,0.217,0.045,8.26057113135075e-227,"2","Slc18a2"
"60",3.92994234272917e-229,2.56295468574605,0.217,0.046,7.87717643176635e-225,"2","Mctp2"
"61",4.45495885209028e-203,1.49365862305313,0.445,0.183,8.92951952312975e-199,"2","Spon1"
"62",1.90703759684092e-202,1.0055217023047,0.657,0.361,3.82246615910795e-198,"2","Tcf4"
"63",5.65045707324946e-174,1.42165751800635,0.441,0.196,1.13257761576212e-169,"2","Ust"
"64",8.8684998485677e-168,1.52528917861655,0.367,0.147,1.77760210964691e-163,"2","Col23a1"
"65",7.7736634711357e-165,3.08941169592394,0.096,0.011,1.55815310615444e-160,"2","Sall3"
"66",8.0725081133703e-147,1.23134975156954,0.44,0.209,1.61805352624394e-142,"2","Pdzrn4"
"67",2.76199406183757e-134,1.22610815235527,0.429,0.21,5.53614089754722e-130,"2","Slit1"
"68",3.85789014868391e-134,1.31892314310515,0.392,0.183,7.73275501402203e-130,"2","Palmd"
"69",4.12283769330242e-120,1.32738216170684,0.314,0.134,8.26381587245538e-116,"2","Matn2"
"70",2.79583028335169e-112,1.2791194396729,0.355,0.169,5.60396221995013e-108,"2","Ildr2"
"71",1.19924134457412e-109,1.35461436765146,0.303,0.133,2.40375935106436e-105,"2","Igfbpl1"
"72",2.56368230850128e-107,1.4521581701771,0.256,0.103,5.13864481915997e-103,"2","Dlx1"
"73",4.10885459510687e-104,1.4892072829927,0.23,0.088,8.23578815043221e-100,"2","Ndnf"
"74",4.18848299549034e-104,1.44596768310574,0.309,0.143,8.39539531616083e-100,"2","Scn9a"
"75",6.64738660330475e-99,1.63768621307786,0.179,0.06,1.3324021707664e-94,"2","Spata13"
"76",8.26015003569301e-98,1.15057495681845,0.357,0.18,1.65566447315431e-93,"2","Nxn"
"77",1.01582475187305e-96,1.86318499070731,0.145,0.043,2.03611913265435e-92,"2","Nfix"
"78",9.75262772107368e-93,1.76552700469298,0.153,0.048,1.95481670041201e-88,"2","Acss1"
"79",1.55091508712215e-83,3.33373044146648,0.043,0.004,3.10865420062765e-79,"2","Gm27239"
"80",6.94125231120553e-78,1.02554983634465,0.435,0.265,1.39130461325804e-73,"2","Fam19a2"
"81",5.75024184539531e-77,1.49536583688453,0.179,0.07,1.15257847549104e-72,"2","Pnoc"
"82",1.03018793390231e-76,1.01576918226583,0.348,0.19,2.06490869471378e-72,"2","Tiam1"
"83",1.49212617723099e-74,2.73966883677196,0.053,0.008,2.9908177096418e-70,"2","Col27a1"
"84",4.72144318640929e-73,1.33969344482867,0.208,0.09,9.46366072283878e-69,"2","Sh3rf1"
