"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.93373808032958,0.853,0.43,0,"0","Cntn5"
3.99163639766554e-306,2.32415473248213,0.791,0.438,7.22845435253253e-302,"0","Il1rapl2"
2.26490368977419e-257,1.2283707930872,0.983,0.887,4.10151409181208e-253,"0","Lrp1b"
7.65477053360057e-238,1.39205770570265,0.878,0.609,1.38620239592973e-233,"0","Kcnip4"
3.95614940503286e-200,1.21818064444611,0.852,0.527,7.164190957574e-196,"0","Zfp804a"
5.98684372779233e-177,1.11386600010242,0.844,0.523,1.08415753066591e-172,"0","Arpp21"
1.30411103464177e-138,1.64321673319468,0.545,0.251,2.36161467263279e-134,"0","Egfem1"
2.68009621689253e-136,1.01471981078111,0.765,0.466,4.85338623917069e-132,"0","Asic2"
1.30371007593731e-131,2.48387107825876,0.32,0.085,2.36088857651487e-127,"0","Stk31"
1.61897887856511e-82,1.47781840158389,0.369,0.156,2.93180885119356e-78,"0","Pde8b"
1.60353190140362e-76,1.39178913896249,0.37,0.162,2.90383592025181e-72,"0","Lmo7"
4.84720526652688e-68,2.2448951656597,0.201,0.06,8.77780401715353e-64,"0","Prkd1"
9.32926875622102e-63,1.50926592383042,0.259,0.099,1.68943727906406e-58,"0","Nell2"
4.64978967777947e-43,1.05024631575534,0.344,0.19,8.42030412749084e-39,"0","Csmd2"
3.79514820899134e-42,1.55442428223628,0.175,0.065,6.87263389166242e-38,"0","Cftr"
2.09604375910205e-41,1.88616510728281,0.147,0.049,3.7957256433579e-37,"0","Fyb"
4.16547959838822e-41,1.51445761449099,0.176,0.067,7.54326700472124e-37,"0","Adamts3"
2.75302976121518e-36,1.20489329508266,0.224,0.106,4.98546159458456e-32,"0","Htr4"
3.00457390389812e-36,1.41094902254475,0.171,0.068,5.4409828825691e-32,"0","Sntg2"
4.48308711260031e-33,1.0671466593781,0.277,0.153,8.11842245220791e-29,"0","Nell1"
5.19158537008604e-31,1.44247013138004,0.162,0.069,9.4014419466888e-27,"0","Ptpro"
5.6210759676895e-31,1.20385934756371,0.205,0.099,1.01792064698889e-26,"0","Cxcl14"
1.06153646086358e-30,1.25662445824181,0.162,0.069,1.92233637697785e-26,"0","Sema6a"
1.90115918178083e-26,1.71040565879558,0.089,0.028,3.44280916228691e-22,"0","Nts"
5.95457528966812e-26,1.25643979327632,0.191,0.098,1.078314039206e-21,"0","Rps6ka5"
9.58144928473659e-26,1.29549427473522,0.129,0.053,1.73510465097295e-21,"0","Cdh9"
7.70729554547897e-25,1.54688517936295,0.096,0.033,1.39571415033079e-20,"0","Gucy1a3"
1.04135307669129e-24,1.77857716143716,0.075,0.022,1.88578628658025e-20,"0","C230014O12Rik"
9.87461990783369e-22,1.05233797386402,0.225,0.131,1.7881949191096e-17,"0","Lrrk2"
4.48730045192338e-21,1.74331183161797,0.089,0.033,8.12605238838805e-17,"0","Kynu"
7.73586499726237e-21,1.21282526468184,0.128,0.059,1.40088779235424e-16,"0","Fbn2"
2.88489270891929e-19,1.68056895763284,0.097,0.04,5.22425220658193e-15,"0","Penk"
5.04607365410862e-19,1.02684821459922,0.147,0.076,9.13793478022531e-15,"0","Tmem56"
1.9172383040377e-17,1.01237434604586,0.147,0.078,3.47192684478187e-13,"0","Gabra5"
3.8439379138454e-17,1.07568893615332,0.128,0.064,6.96098716818263e-13,"0","Kcnip3"
7.59996771656663e-16,1.43999172259619,0.067,0.025,1.37627815379305e-11,"0","Hpcal1"
